Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,109830,quant Flexi Cap Fund - Growth Option - Regular Plan,107.3875,14-10-2024
quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,109831,quant Flexi Cap Fund - IDCW Option - Regular Plan,76.7537,14-10-2024
UTI Mutual Fund,IL&FS Mutual Fund,IDF,110021,UTI Quarterly Interval Fund - III -Regular Plan - IDCW,10.853,14-10-2024
UTI Mutual Fund,IL&FS Mutual Fund,IDF,110024,UTI Quarterly Interval Fund - III -Regular Plan - Growth Option,29.6552,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.0199,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.7996,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110598,BANK OF INDIA Large & Mid Cap  Equity Fund Regular Plan- Quarterly IDCW,33.17,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110599,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan- Growth,99.59,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110601,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Bonus,99.58,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110603,BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Growth,91.07,14-10-2024
