Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
119019,DSP Equity & Bond Fund - Direct Plan - Growth,376.35300,INF740K01NY4,N/A,N/A
119570,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,100.32000,INF209K01VC9,N/A,N/A
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,18.10700,INF174K01FK1INF174K01FJ3,N/A,N/A
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,58.75330,INF192K01AB3,N/A,N/A
134960,JM Large Cap Fund (Direct) - Quarterly IDCW,71.21180,INF192K01JN9INF192K01JO7,N/A,N/A
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,399.18620,INF966L01986,N/A,N/A
,,N/A,,N/A,N/A
148414,JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan,41.44370,,N/A,N/A
,,N/A,,N/A,N/A
134875,LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DP6,N/A,N/A
134863,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AB2,N/A,N/A
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,230.13000,INF209K01314INF209K01CL0,N/A,N/A
120431,JM Medium to Long Duration Fund (Direct) - Quarterly IDCW,23.05820,INF192K01CU9INF192K01CV7,N/A,N/A
134879,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DU6,N/A,N/A
100317,LIC MF Gilt Fund-Regular Plan-Growth,57.24620,INF767K01709,N/A,N/A
134660,JM G-Sec Fund - Monthly Dividend Option,28.24900,INF192K01JW0INF192K01JX8,N/A,N/A
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,359.58020,INF966L01135,N/A,N/A
,,N/A,,N/A,N/A
100352,ICICI Prudential FMCG Fund - Growth,481.57000,INF109K01415,N/A,N/A
119099,DSP Gilt Fund - Direct Plan - Growth,97.39830,INF740K01NF3,N/A,N/A
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,44.88060,INF174K01EQ1INF174K01EP3,N/A,N/A
100254,JM Value Fund (Regular) - Growth Option,98.74900,INF137A01037,N/A,N/A
120263,LIC MF Flexi Cap Fund-Direct Plan-IDCW,35.53060,INF767K01EF5INF767K01EH1,N/A,N/A
,,N/A,,N/A,N/A
105875,DSP Flexi Cap Fund - Regular Plan - Growth,98.90100,INF740K01037,N/A,N/A
134873,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AI7,N/A,N/A
100177,quant Small Cap Fund - Growth - Regular Plan,257.11150,INF966L01AA0,N/A,N/A
